min,0.3125ug/ml,,0.625 ug/mL,,1.25 ug/mL,,2.5 ug/mL,,5 ug/mL,
,RFU,SD,RFU,SD,RFU,SD,RFU,SD,RFU,SD
0,0,,0,,0,,0,,0,
1,7445.16,100.496,9881.38,118.798,12628.2,157.84505,12772.3,194.578,14144.1,202.368
5,8383.01,102.692,10728.6,156.341,13384,148.01309,14331.8,212.436,16100,206.877
10,8692.2,163.541,11184.8,132.565,13696,171.55884,15121.7,231.322,15978.1,239.443
15,9333.98,127.057,11177.6,162.774,13723.1,160.5641,14880.4,218.857,16245.9,188.897
20,9165.91,151.964,10773.7,163.252,13672.3,167.952,14392.1,209.78,15697.6,253.965
25,9165.72,149.793,10773.5,151.47,13439.5,206.781,14470.3,192.144,15398.7,191.192
30,9301.82,135.79,10874.5,156.121,13812.7,183.112,14647.4,187.78,15834.8,210.288
